user_id,username,password_hash,full_name,role,state,district,status,created_at
USR-00011,admin_11,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Pooja Deshmukh,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00012,admin_12,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,Karan Malhotra,ADMIN,ALL,ALL,Active,2024-01-01 10:00:00
USR-00013,so_001_andhraprad,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Andhra Pradesh),STATE_OFFICER,Andhra Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00014,so_002_andhraprad,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Andhra Pradesh),STATE_OFFICER,Andhra Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00015,so_003_arunachalp,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Arunachal Pradesh),STATE_OFFICER,Arunachal Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00016,so_004_arunachalp,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Arunachal Pradesh),STATE_OFFICER,Arunachal Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00017,so_005_assam,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Assam),STATE_OFFICER,Assam,ALL,Active,2024-01-05 10:00:00
USR-00018,so_006_assam,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Assam),STATE_OFFICER,Assam,ALL,Active,2024-01-05 10:00:00
USR-00019,so_007_bihar,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Bihar),STATE_OFFICER,Bihar,ALL,Active,2024-01-05 10:00:00
USR-00020,so_008_bihar,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Bihar),STATE_OFFICER,Bihar,ALL,Active,2024-01-05 10:00:00
USR-00021,so_009_chhattisga,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Chhattisgarh),STATE_OFFICER,Chhattisgarh,ALL,Active,2024-01-05 10:00:00
USR-00022,so_010_chhattisga,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Chhattisgarh),STATE_OFFICER,Chhattisgarh,ALL,Active,2024-01-05 10:00:00
USR-00023,so_011_goa,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Goa),STATE_OFFICER,Goa,ALL,Active,2024-01-05 10:00:00
USR-00024,so_012_goa,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Goa),STATE_OFFICER,Goa,ALL,Active,2024-01-05 10:00:00
USR-00025,so_013_gujarat,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Gujarat),STATE_OFFICER,Gujarat,ALL,Active,2024-01-05 10:00:00
USR-00026,so_014_gujarat,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Gujarat),STATE_OFFICER,Gujarat,ALL,Active,2024-01-05 10:00:00
USR-00027,so_015_haryana,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Haryana),STATE_OFFICER,Haryana,ALL,Active,2024-01-05 10:00:00
USR-00028,so_016_haryana,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Haryana),STATE_OFFICER,Haryana,ALL,Active,2024-01-05 10:00:00
USR-00029,so_017_himachalpr,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Himachal Pradesh),STATE_OFFICER,Himachal Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00030,so_018_himachalpr,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Himachal Pradesh),STATE_OFFICER,Himachal Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00031,so_019_jharkhand,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Jharkhand),STATE_OFFICER,Jharkhand,ALL,Active,2024-01-05 10:00:00
USR-00032,so_020_jharkhand,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Jharkhand),STATE_OFFICER,Jharkhand,ALL,Active,2024-01-05 10:00:00
USR-00033,so_021_karnataka,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Karnataka),STATE_OFFICER,Karnataka,ALL,Active,2024-01-05 10:00:00
USR-00034,so_022_karnataka,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Karnataka),STATE_OFFICER,Karnataka,ALL,Active,2024-01-05 10:00:00
USR-00035,so_023_kerala,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Kerala),STATE_OFFICER,Kerala,ALL,Active,2024-01-05 10:00:00
USR-00036,so_024_kerala,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Kerala),STATE_OFFICER,Kerala,ALL,Active,2024-01-05 10:00:00
USR-00037,so_025_madhyaprad,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Madhya Pradesh),STATE_OFFICER,Madhya Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00038,so_026_madhyaprad,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Madhya Pradesh),STATE_OFFICER,Madhya Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00039,so_027_maharashtr,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Maharashtra),STATE_OFFICER,Maharashtra,ALL,Active,2024-01-05 10:00:00
USR-00040,so_028_maharashtr,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Maharashtra),STATE_OFFICER,Maharashtra,ALL,Active,2024-01-05 10:00:00
USR-00041,so_029_manipur,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Manipur),STATE_OFFICER,Manipur,ALL,Active,2024-01-05 10:00:00
USR-00042,so_030_manipur,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Manipur),STATE_OFFICER,Manipur,ALL,Active,2024-01-05 10:00:00
USR-00043,so_031_meghalaya,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Meghalaya),STATE_OFFICER,Meghalaya,ALL,Active,2024-01-05 10:00:00
USR-00044,so_032_meghalaya,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Meghalaya),STATE_OFFICER,Meghalaya,ALL,Active,2024-01-05 10:00:00
USR-00045,so_033_mizoram,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Mizoram),STATE_OFFICER,Mizoram,ALL,Active,2024-01-05 10:00:00
USR-00046,so_034_mizoram,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Mizoram),STATE_OFFICER,Mizoram,ALL,Active,2024-01-05 10:00:00
USR-00047,so_035_nagaland,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Nagaland),STATE_OFFICER,Nagaland,ALL,Active,2024-01-05 10:00:00
USR-00048,so_036_nagaland,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Nagaland),STATE_OFFICER,Nagaland,ALL,Active,2024-01-05 10:00:00
USR-00049,so_037_odisha,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Odisha),STATE_OFFICER,Odisha,ALL,Active,2024-01-05 10:00:00
USR-00050,so_038_odisha,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Odisha),STATE_OFFICER,Odisha,ALL,Active,2024-01-05 10:00:00
USR-00051,so_039_punjab,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Punjab),STATE_OFFICER,Punjab,ALL,Active,2024-01-05 10:00:00
USR-00052,so_040_punjab,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Punjab),STATE_OFFICER,Punjab,ALL,Active,2024-01-05 10:00:00
USR-00053,so_041_rajasthan,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Rajasthan),STATE_OFFICER,Rajasthan,ALL,Active,2024-01-05 10:00:00
USR-00054,so_042_rajasthan,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Rajasthan),STATE_OFFICER,Rajasthan,ALL,Active,2024-01-05 10:00:00
USR-00055,so_043_sikkim,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Sikkim),STATE_OFFICER,Sikkim,ALL,Active,2024-01-05 10:00:00
USR-00056,so_044_sikkim,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Sikkim),STATE_OFFICER,Sikkim,ALL,Active,2024-01-05 10:00:00
USR-00057,so_045_tamilnadu,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Tamil Nadu),STATE_OFFICER,Tamil Nadu,ALL,Active,2024-01-05 10:00:00
USR-00058,so_046_tamilnadu,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Tamil Nadu),STATE_OFFICER,Tamil Nadu,ALL,Active,2024-01-05 10:00:00
USR-00059,so_047_telangana,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Telangana),STATE_OFFICER,Telangana,ALL,Active,2024-01-05 10:00:00
USR-00060,so_048_telangana,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Telangana),STATE_OFFICER,Telangana,ALL,Active,2024-01-05 10:00:00
USR-00061,so_049_tripura,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Tripura),STATE_OFFICER,Tripura,ALL,Active,2024-01-05 10:00:00
USR-00062,so_050_tripura,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Tripura),STATE_OFFICER,Tripura,ALL,Active,2024-01-05 10:00:00
USR-00063,so_051_uttarprade,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Uttar Pradesh),STATE_OFFICER,Uttar Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00064,so_052_uttarprade,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Uttar Pradesh),STATE_OFFICER,Uttar Pradesh,ALL,Active,2024-01-05 10:00:00
USR-00065,so_053_uttarakhan,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Uttarakhand),STATE_OFFICER,Uttarakhand,ALL,Active,2024-01-05 10:00:00
USR-00066,so_054_uttarakhan,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Uttarakhand),STATE_OFFICER,Uttarakhand,ALL,Active,2024-01-05 10:00:00
USR-00067,so_055_westbengal,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (West Bengal),STATE_OFFICER,West Bengal,ALL,Active,2024-01-05 10:00:00
USR-00068,so_056_westbengal,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (West Bengal),STATE_OFFICER,West Bengal,ALL,Active,2024-01-05 10:00:00
USR-00069,so_057_andamanand,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Andaman and Nicobar Islands),STATE_OFFICER,Andaman and Nicobar Islands,ALL,Active,2024-01-05 10:00:00
USR-00070,so_058_andamanand,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Andaman and Nicobar Islands),STATE_OFFICER,Andaman and Nicobar Islands,ALL,Active,2024-01-05 10:00:00
USR-00071,so_059_chandigarh,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Chandigarh),STATE_OFFICER,Chandigarh,ALL,Active,2024-01-05 10:00:00
USR-00072,so_060_chandigarh,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Chandigarh),STATE_OFFICER,Chandigarh,ALL,Active,2024-01-05 10:00:00
USR-00073,so_061_dadraandna,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Dadra and Nagar Haveli and Daman and Diu),STATE_OFFICER,Dadra and Nagar Haveli and Daman and Diu,ALL,Active,2024-01-05 10:00:00
USR-00074,so_062_dadraandna,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Dadra and Nagar Haveli and Daman and Diu),STATE_OFFICER,Dadra and Nagar Haveli and Daman and Diu,ALL,Active,2024-01-05 10:00:00
USR-00075,so_063_delhi,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Delhi),STATE_OFFICER,Delhi,ALL,Active,2024-01-05 10:00:00
USR-00076,so_064_delhi,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Delhi),STATE_OFFICER,Delhi,ALL,Active,2024-01-05 10:00:00
USR-00077,so_065_jammuandka,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Jammu and Kashmir),STATE_OFFICER,Jammu and Kashmir,ALL,Active,2024-01-05 10:00:00
USR-00078,so_066_jammuandka,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Jammu and Kashmir),STATE_OFFICER,Jammu and Kashmir,ALL,Active,2024-01-05 10:00:00
USR-00079,so_067_ladakh,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Ladakh),STATE_OFFICER,Ladakh,ALL,Active,2024-01-05 10:00:00
USR-00080,so_068_ladakh,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Ladakh),STATE_OFFICER,Ladakh,ALL,Active,2024-01-05 10:00:00
USR-00081,so_069_lakshadwee,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Lakshadweep),STATE_OFFICER,Lakshadweep,ALL,Active,2024-01-05 10:00:00
USR-00082,so_070_lakshadwee,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Lakshadweep),STATE_OFFICER,Lakshadweep,ALL,Active,2024-01-05 10:00:00
USR-00083,so_071_puducherry,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 1 (Puducherry),STATE_OFFICER,Puducherry,ALL,Active,2024-01-05 10:00:00
USR-00084,so_072_puducherry,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,State Officer 2 (Puducherry),STATE_OFFICER,Puducherry,ALL,Active,2024-01-05 10:00:00
USR-00085,do_0001_ananthapuram,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Ananthapuramu, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Ananthapuramu,Active,2024-01-10 10:00:00
USR-00086,do_0002_annamayya,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Annamayya, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Annamayya,Active,2024-01-10 10:00:00
USR-00087,do_0003_allurisithar,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Alluri Sitharama Raju, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Alluri Sitharama Raju,Active,2024-01-10 10:00:00
USR-00088,do_0004_anakapalli,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Anakapalli, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Anakapalli,Active,2024-01-10 10:00:00
USR-00089,do_0005_bapatla,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Bapatla, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Bapatla,Active,2024-01-10 10:00:00
USR-00090,do_0006_chittoor,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Chittoor, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Chittoor,Active,2024-01-10 10:00:00
USR-00091,do_0007_eastgodavari,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (East Godavari, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,East Godavari,Active,2024-01-10 10:00:00
USR-00092,do_0008_eluru,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Eluru, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Eluru,Active,2024-01-10 10:00:00
USR-00093,do_0009_guntur,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Guntur, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Guntur,Active,2024-01-10 10:00:00
USR-00094,do_0010_kakinada,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Kakinada, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Kakinada,Active,2024-01-10 10:00:00
USR-00095,do_0011_ntr,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (NTR, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,NTR,Active,2024-01-10 10:00:00
USR-00096,do_0012_nandyal,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Nandyal, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Nandyal,Active,2024-01-10 10:00:00
USR-00097,do_0013_palnadu,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Palnadu, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Palnadu,Active,2024-01-10 10:00:00
USR-00098,do_0014_parvathipura,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Parvathipuram Manyam, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Parvathipuram Manyam,Active,2024-01-10 10:00:00
USR-00099,do_0015_prakasam,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Prakasam, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Prakasam,Active,2024-01-10 10:00:00
USR-00100,do_0016_sripottisrir,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Sri Potti Sriramulu Nellore, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Sri Potti Sriramulu Nellore,Active,2024-01-10 10:00:00
USR-00101,do_0017_srisathyasai,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Sri Sathya Sai, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Sri Sathya Sai,Active,2024-01-10 10:00:00
USR-00102,do_0018_srikakulam,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Srikakulam, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Srikakulam,Active,2024-01-10 10:00:00
USR-00103,do_0019_tirupati,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Tirupati, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Tirupati,Active,2024-01-10 10:00:00
USR-00104,do_0020_visakhapatna,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Visakhapatnam, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Visakhapatnam,Active,2024-01-10 10:00:00
USR-00105,do_0021_vizianagaram,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Vizianagaram, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Vizianagaram,Active,2024-01-10 10:00:00
USR-00106,do_0022_westgodavari,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (West Godavari, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,West Godavari,Active,2024-01-10 10:00:00
USR-00107,do_0023_ysrkadapa,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (YSR Kadapa, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,YSR Kadapa,Active,2024-01-10 10:00:00
USR-00108,do_0024_drbrambedkar,$2b$12$TQaqjTTr.x6ryse5KevtxOa91V5Q9tRHzjv83ntUJFSYXUg7D5Q7S,"District Collector (Dr. B.R. Ambedkar Konaseema, Andhra Pradesh)",DISTRICT_OFFICER,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Active,2024-01-10 10:00:00
